date,numero,debut,fin
du 19 au 24 août 2019,semaine 34,19/08/2019,25/08/2019
du 26 au 31 août 2019,semaine 35,26/08/2019,01/09/2019
du 2 au 7 septembre 2019,semaine 36,02/09/2019,08/09/2019
du 9 au 14 septembre 2019,semaine 37,09/09/2019,15/09/2019
du 16 au 21 septembre 2019,semaine 38,16/09/2019,22/09/2019
du 23 au 28 septembre 2019,semaine 39,23/09/2019,29/09/2019
du 30 septembre au 5 octobre 2019,semaine 40,30/09/2019,06/10/2019
du 7 au 12 octobre 2019,semaine 41,07/10/2019,13/10/2019
du 14 au 19 octobre 2019,semaine 42,14/10/2019,20/10/2019
du 21 au 26 octobre 2019,semaine 43,21/10/2019,27/10/2019
du 28 octobre au 2 novembre 2019,semaine 44,28/10/2019,03/11/2019
du 4 au 9 novembre 2019,semaine 45,04/11/2019,10/11/2019
du 11 au 16 novembre 2019,semaine 46,11/11/2019,17/11/2019
du 18 au 23 novembre 2019,semaine 47,18/11/2019,24/11/2019
du 25 au 30 novembre 2019,semaine 48,25/11/2019,01/12/2019
du 2 au 7 décembre 2019,semaine 49,02/12/2019,08/12/2019
du 9 au 14 décembre 2019,semaine 50,09/12/2019,15/12/2019
du 16 au 21 décembre 2019,semaine 51,16/12/2019,22/12/2019
du 23 au 28 décembre 2019,semaine 52,23/12/2019,29/12/2019
du 30 décembre 2019 au 4 janvier 2020,semaine 01,30/12/2019,05-janv-20
du 6 au 11 janvier 2020,semaine 02,06/01/2020,12/01/2020
du 13 au 18 janvier 2020,semaine 03,13/01/2020,19/01/2020
du 20 au 25 janvier 2020,semaine 04,20/01/2020,26/01/2020
du 27 janvier au 1 f&eacutevrier 2020,semaine 05,27/01/2020,02/02/2020
du 3 au 8 février 2020,semaine 06,03/02/2020,09/02/2020
du 10 au 15 février 2020,semaine 07,10/02/2020,16/02/2020
du 17 au 22 février 2020,semaine 08,17/02/2020,23/02/2020
du 24 au 29 février 2020,semaine 09,24/02/2020,01/03/2020
du 2 au 7 mars 2020,semaine 10,02/03/2020,08/03/2020
du 9 au 14 mars 2020,semaine 11,09/03/2020,15/03/2020
du 16 au 21 mars 2020,semaine 12,16/03/2020,22/03/2020
du 23 au 28 mars 2020,semaine 13,23/03/2020,29/03/2020
du 30 mars au 4 avril 2020,semaine 14,30/03/2020,05/04/2020
du 6 au 11 avril 2020,semaine 15,06/04/2020,12/04/2020
du 13 au 18 avril 2020,semaine 16,13/04/2020,19/04/2020
du 20 au 25 avril 2020,semaine 17,20/04/2020,26/04/2020
du 27 avril au 2 mai 2020,semaine 18,27/04/2020,03/05/2020
du 4 au 9 mai 2020,semaine 19,04/05/2020,10/05/2020
du 11 au 16 mai 2020,semaine 20,11/05/2020,17/05/2020
du 18 au 23 mai 2020,semaine 21,18/05/2020,24/05/2020
du 25 au 30 mai 2020,semaine 22,25/05/2020,31/05/2020
du 1 au 6 juin 2020,semaine 23,01/06/2020,07/06/2020
du 8 au 13 juin 2020,semaine 24,08/06/2020,14/06/2020
du 15 au 20 juin 2020,semaine 25,15/06/2020,21/06/2020
du 22 au 27 juin 2020,semaine 26,22/06/2020,28/06/2020
du 29 juin au 4 juillet 2020,semaine 27,29/06/2020,05/07/2020
du 6 au 11 juillet 2020,semaine 28,06/07/2020,12/07/2020
du 13 au 18 juillet 2020,semaine 29,13/07/2020,19/07/2020
du 20 au 25 juillet 2020,semaine 30,20/07/2020,26/07/2020
du 27 juillet au 1 août 2020,semaine 31,27/07/2020,02/08/2020
du 3 au 8 août 2020,semaine 32,03/08/2020,09/08/2020
du 10 au 15 août 2020,semaine 33,10/08/2020,16/08/2020
